sl no,Detection Name,Category,TTP,Severity
2694,Suspicious Process Discovery With Get-Process,windows,T1057,low
2695,Suspicious Process Execution From Fake Recycle.Bin Folder,windows,,high
2696,Suspicious Process Masquerading As SvcHost.EXE,windows,T1036.005,high
2697,Suspicious Process Parents,windows,T1036,high
2698,Suspicious Process Patterns NTDS.DIT Exfil,windows,T1003.003,high
2699,Suspicious Process Start Locations,windows,T1036,medium
2700,Suspicious Processes Spawned by Java.EXE,windows,,high
2701,Suspicious Processes Spawned by WinRM,windows,T1190,high
2702,Suspicious PROCEXP152.sys File Created In TMP,windows,T1685,medium
2703,Suspicious Program Location Whitelisted In Firewall Via Netsh.EXE,windows,T1686.003,high
2704,Suspicious Program Names,windows,T1059,high
2705,Suspicious Provlaunch.EXE Child Process,windows,T1218,high
2706,Suspicious PsExec Execution,windows,T1021.002,high
2707,Suspicious Query of MachineGUID,windows,T1082,low
2708,Suspicious RASdial Activity,windows,T1059,medium
2709,Suspicious RDP Redirect Using TSCON,windows,"T1563.002, T1021.001",high
2710,Suspicious Reconnaissance Activity Using Get-LocalGroupMember Cmdlet,windows,T1087.001,medium
2711,Suspicious Reconnaissance Activity Via GatherNetworkInfo.VBS,windows,"T1615, T1059.005",high
2712,Suspicious Recursive Takeown,windows,T1222.001,medium
2713,Suspicious Redirection to Local Admin Share,windows,T1048,high
2714,Suspicious Reg Add BitLocker,windows,T1486,high
2715,Suspicious Registry Modification From ADS Via Regini.EXE,windows,T1112,high
2716,Suspicious Regsvr32 Execution From Remote Share,windows,T1218.010,high
2717,Suspicious Rejected SMB Guest Logon From IP,windows,T1110.001,medium
2718,Suspicious Remote Child Process From Outlook,windows,"T1059, T1202",high
2719,Suspicious Remote Logon with Explicit Credentials,windows,T1078,medium
2720,Suspicious Renamed Comsvcs DLL Loaded By Rundll32,windows,T1003.001,high
2721,Suspicious Response File Execution Via Odbcconf.EXE,windows,T1218.008,high
2722,Suspicious Run Key from Download,windows,T1547.001,high
2723,Suspicious RunAs-Like Flag Combination,windows,,medium
2724,Suspicious Rundll32 Activity Invoking Sys File,windows,T1218.011,high
2725,Suspicious Rundll32 Execution With Image Extension,windows,T1218.011,high
2726,Suspicious Rundll32 Invoking Inline VBScript,windows,T1055,high
2727,Suspicious Rundll32 Setupapi.dll Activity,windows,T1218.011,medium
2728,Suspicious Runscripthelper.exe,windows,"T1059, T1202",medium
2729,Suspicious Scan Loop Network,windows,"T1059, T1018",medium
2730,Suspicious Scheduled Task Creation,windows,T1053.005,high
2731,Suspicious Scheduled Task Creation Involving Temp Folder,windows,T1053.005,high
2732,Suspicious Scheduled Task Creation via Masqueraded XML File,windows,"T1036.005, T1053.005",medium
2733,Suspicious Scheduled Task Name As GUID,windows,T1053.005,medium
2734,Suspicious Scheduled Task Update,windows,T1053.005,high
2735,Suspicious Scheduled Task Write to System32 Tasks,windows,T1053,high
2736,Suspicious Schtasks Execution AppData Folder,windows,"T1053.005, T1059.001",high
2737,Suspicious Schtasks Schedule Type With High Privileges,windows,T1053.005,medium
2738,Suspicious Schtasks Schedule Types,windows,T1053.005,high
2739,Suspicious ScreenSave Change by Reg.exe,windows,T1546.002,medium
2740,Suspicious Screensaver Binary File Creation,windows,T1546.002,medium
2741,Suspicious Scripting in a WMI Consumer,windows,T1059.005,high
2742,Suspicious Serv-U Process Pattern,windows,T1555,high
2743,Suspicious Service Binary Directory,windows,T1202,high
2744,Suspicious Service DACL Modification Via Set-Service Cmdlet,windows,T1543.003,high
